ATKK51200109,A802936587810692,ATKK51200109,"Papperlapapp",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200110,A943854862573622,ATKK51200110,"Lieb Dich Nicht",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200111,A171100959104610,ATKK51200111,"Das Spiel",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200112,A242280781549550,ATKK51200112,"Un Deux Trois",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200113,A625579616325994,ATKK51200113,"Kragenweite",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200114,A520337992621089,ATKK51200114,"Karussell (feat. Sara Nardelli)",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200115,A627139217565497,ATKK51200115,"Immer Wieder",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATKK51200116,A635550928100190,ATKK51200116,"Da Capo",none,859708285932,"Herr Tischbein",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATPK11200002,A804409425182215,ATPK11200002,"Up & Down",none,859708546217,"Caroline Kreutzberger",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATQ111200001,A932331087267117,ATQ111200001,"Spoil",none,859707764087,"THYX",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATQ111200002,A310864452118991,ATQ111200002,"My Own Little World",none,859707764087,"THYX",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATQ111200003,A541451660797386,ATQ111200003,"The Way Home",none,859707764087,"THYX",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
ATQ111200004,A629971686770683,ATQ111200004,"Underdive",none,859707764087,"THYX",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
