Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
BEK010901584,A329149751591855,BEK010901584,"AYO TECHNOLOGY",none,none,"none",none,"","",,"",no status
BEK010801290,sy_z17m8T6c,BEK010801290,"Ayo Technology (Radio Edit)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"UMG-100&UMG,justente+user-100,100&UMG,justente+user,WMG-100,100,100&UMG,justente+user,WMG,theorchardmusic-100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG-100,100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment-100,100,100,100,100,100&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment,Believe-100,100,100,100,100,100,100","UMG-include&UMG,justente+user-include,include&UMG,justente+user,WMG-include,include,include&UMG,justente+user,WMG,theorchardmusic-include,include,include,include&UMG,justente+user,WMG,theorchardmusic,SonyBMG-include,include,include,include,include&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment-include,include,include,include,include,exclude&UMG,justente+user,WMG,theorchardmusic,SonyBMG,CNREntertainment,Believe-include,include,include,include,include,exclude,include",,"",TRUE
BEK010801290,IQwcKkKLfso,BEK010801290,"Ayo Technology",none,none,"KATERINE",pop house,"justente+user-100&justente+user,myvideorights_music-100,100","justente+user-include&justente+user,myvideorights_music-include,include",,"",no status
BEK010901583,YbvZxer9bqM,BEK010901583,"Ayo Technology (Acoustic Mix)",none,none,"Katerine",none,"WMG-100&WMG,justente+user-100,100","WMG-include&WMG,justente+user-include,exclude",,"",TRUE
BEK010901450,WLXsb-DksK8,BEK010901450,"Ayo Technology (Extended)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"myvideorights_music-100&myvideorights_music,Phonofile-100,100&myvideorights_music,Phonofile,justente+user-100,100,100&myvideorights_music,Phonofile,justente+user,WMG-100,100,100,100&myvideorights_music,Phonofile,justente+user,WMG,Believe-100,100,100,100,100&myvideorights_music,Phonofile,justente+user,WMG,Believe,SonyBMG-100,100,100,100,100,100","myvideorights_music-include&myvideorights_music,Phonofile-include,include&myvideorights_music,Phonofile,justente+user-include,include,include&myvideorights_music,Phonofile,justente+user,WMG-include,include,include,include&myvideorights_music,Phonofile,justente+user,WMG,Believe-include,include,include,include,include&myvideorights_music,Phonofile,justente+user,WMG,Believe,SonyBMG-include,include,include,include,include,include",,"",TRUE
BEK010901451,gKhwvadJVsY,BEK010901451,"Ayo Technology (FTW Remix)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"Phonofile-100&Phonofile,myvideorights_music-100,100&Phonofile,myvideorights_music,WMG-100,100,100&Phonofile,myvideorights_music,WMG,Believe-100,100,100,100&Phonofile,myvideorights_music,WMG,Believe,justente+user-100,100,100,100,100","Phonofile-include&Phonofile,myvideorights_music-include,include&Phonofile,myvideorights_music,WMG-include,include,include&Phonofile,myvideorights_music,WMG,Believe-include,include,include,include&Phonofile,myvideorights_music,WMG,Believe,justente+user-include,include,include,include,include",,"",TRUE
BEK010901578,9URGo_7K_oA,BEK010901578,"Ayo Technology (Sir-G's UK Extended Mix)",none,none,"Katerine",none,"WMG-100&WMG,justente+user-100,100","WMG-include&WMG,justente+user-include,include",,"",TRUE
BEK010901490,rKUaMsicCJU,BEK010901490,"Ayo Technology",none,none,"Katerine",none,"myvideorights_music-100&myvideorights_music,SonyBMG-100,100&myvideorights_music,SonyBMG,WMG-100,100,100&myvideorights_music,SonyBMG,WMG,justente+user-100,100,100,100","myvideorights_music-include&myvideorights_music,SonyBMG-include,include&myvideorights_music,SonyBMG,WMG-include,include,include&myvideorights_music,SonyBMG,WMG,justente+user-include,include,include,include",,"",TRUE
BEK010901582,3n89FB7v5gw,BEK010901582,"Ayo Technology (Bass Slammers Remix)",none,none,"Katerine",none,"WMG-100","WMG-include",,"",TRUE
BEK010901491,1JkXSx0w1E8,BEK010901491,"Ayo Technology",none,none,"Katerine",none,"SonyBMG-100&SonyBMG,WMG-100,100&SonyBMG,WMG,justente+user-100,100,100","SonyBMG-include&SonyBMG,WMG-include,include&SonyBMG,WMG,justente+user-include,include,include",,"",TRUE
BEK010901492,ku2sKChTq2E,BEK010901492,"Ayo Technology",none,none,"Katerine",none,"myvideorights_music-100&myvideorights_music,WMG-100,100&myvideorights_music,WMG,justente+user-100,100,100","myvideorights_music-include&myvideorights_music,WMG-include,include&myvideorights_music,WMG,justente+user-include,include,include",,"",TRUE
BEK010801330,6UHp4WycMaM,BEK010801330,"Ayo Technology (Karaoke Version)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"myvideorights_music-100&myvideorights_music,Phonofile-100,100&myvideorights_music,Phonofile,Believe-100,100,100&myvideorights_music,Phonofile,Believe,justente+user-100,100,100,100","myvideorights_music-include&myvideorights_music,Phonofile-include,include&myvideorights_music,Phonofile,Believe-include,include,include&myvideorights_music,Phonofile,Believe,justente+user-include,include,include,include",,"",TRUE
BEK010901579,A436692134784063,BEK010901579,"AYO TECHNOLOGY",none,none,"none",none,"","",,"",no status
BEK010901580,A873711234919653,BEK010901580,"AYO TECHNOLOGY",none,none,"none",none,"","",,"",no status
BEK010901452,bR_O40TA2xk,BEK010901452,"Ayo Technology (SR Remix)",none,3297750900804,"Katerine Avgoustakis",Dance & Electronic,"Phonofile-100&Phonofile,SonyBMG-100,100&Phonofile,SonyBMG,WMG-100,100,100&Phonofile,SonyBMG,WMG,Believe-100,100,100,100&Phonofile,SonyBMG,WMG,Believe,justente+user-100,100,100,100,100","Phonofile-include&Phonofile,SonyBMG-include,include&Phonofile,SonyBMG,WMG-include,include,include&Phonofile,SonyBMG,WMG,Believe-include,include,include,include&Phonofile,SonyBMG,WMG,Believe,justente+user-include,include,include,include,include",,"",TRUE
