Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCAAR1010524,A554092669753860,TCAAR1010524,"Hibiscus Blossoms",none,none,"Jamaican Reggae Party Crew",none,"","",,"",
USTC60845238,A463176024581049,USTC60845238,"Hideaway",none,859700940648,"Relaxing Piano Music",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCC1096324,A772932527333902,USTCC1096324,"High Marks",none,none,"Relaxation and Meditation",none,"","",,"",
TCAAY1168574,A474811389811255,TCAAY1168574,"High Moon",none,none,"Calypso Party",none,"","",,"",
TCAAU1173551,A218597851853114,TCAAU1173551,"High Pitched Singing Bowl For Zen Meditation",none,none,"Zen Meditation",none,"","",,"",
TCAAU1106596,A227388793232832,TCAAU1106596,"High Score",none,none,"Study Music",none,"","",,"",
USTCD1089238,A755225187053156,USTCD1089238,"High Singing Bowl for Meditation and Relaxation",none,859703312602,"Tibetan Meditation Music",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAR1032840,A650667612173756,TCAAR1032840,"High Tibetan Singing Bowl For Meditation",none,none,"Timeless Buddha",none,"","",,"",
USTCD1090147,A624412650205931,USTCD1090147,"High Tibetan Singing Bowl For Relaxation And Meditation",none,none,"Ahanu Tibetan Singing Bowls",none,"","",,"",
USTCE1082842,A339235878355270,USTCE1082842,"High Tide",none,none,"Hawaiian Magic",none,"","",,"",
TCAAW1162274,A718325418433318,TCAAW1162274,"Hip Hop Dance",none,none,"Samba Fitness",none,"","",,"",
TCAAW1162267,A202644656015997,TCAAW1162267,"Hip Hob Six Pack",none,none,"Samba Fitness",none,"","",,"",
USTCE1008067,A707715045460388,USTCE1008067,"Hip Hop Dancing Kids",none,none,"Kids Dance Party",none,"","",,"",
USTC50889522,A309303634062005,USTC50889522,"Hip Hop Jazz Drum Solo",none,859700805398,"Anthem Drums",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962299,A525032899595995,USTCZ0962299,"Hip Hop Track",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962318,A610412536747914,USTCZ0962318,"Hip Hop Track 10",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962319,A309954914916752,USTCZ0962319,"Hip Hop Track 11",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962336,A623619880789952,USTCZ0962336,"Hip Hop Track 12",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962337,A556532607070332,USTCZ0962337,"Hip Hop Track 13",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962338,A833078724016592,USTCZ0962338,"Hip Hop Track 14",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCZ0962375,A229980915281134,USTCZ0962375,"Hip Hop Track 15",none,859702400935,"Hip Hop Track Starz",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
