Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
,A908124148748761,undefined,"Лунтик 2014: Лунтик и его друзья Обитатели воды",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
,A837129645044353,undefined,"Лунтик 2014 В поисках мяча!",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
,A533312766979144,undefined,"Лунтик 2014: Лунтик и его друзья Помощь пчеленку",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
,A831651068472097,undefined,"Лунтик 2014 Красивые лилии",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
,gt_Mn5_FY64,ES5029500039,"Fonda De Dolores",none,none,"Juan Perro",none,"SonyBMG-100","SonyBMG-include",unknown,"",TRUE
,A925343677971943,undefined,"Лунтик 2014 Крылья для бабочки",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
,UJm_lkeapU4,ES5029500047,"El Barco De Agua",none,none,"Juan Perro",none,"SonyBMG-100","SonyBMG-include",unknown,"",TRUE
,Wp_O-n-Jb-I,ES5029500049,"Cuatro Cuentos",none,none,"Juan Perro",none,"SonyBMG-100","SonyBMG-include",unknown,"",TRUE
     ,A742319161953574,undefined,"HDPVR 20140416 0859",none,none,"none",none,"anytv_affiliate-100","anytv_affiliate-exclude",unknown,"",no status
,A461794766089887,undefined,"Лунтик 2014: Лунтик и его друзья  Часы",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A941474453697997,undefined,"Healthier Easter Basket Ideas",none,none,"none",none,"CAqOZdkmfHglaSegbgUmaQ-100","CAqOZdkmfHglaSegbgUmaQ-exclude",unknown,"",no status
     ,A567591776068670,undefined,"Sportovní kamera SJ4000 12 MPx a srovnání s GoPro Hero 3 - online prodej na www.chromeshop.cz",none,none,"none",none,"g-M1gvOUmdzzYePOLrmnqw-100","g-M1gvOUmdzzYePOLrmnqw-exclude",unknown,"",no status
     ,A567749550579568,undefined,"NECR 417 leads CSO-4 south on 4/14/2014",none,none,"none",none,"Chessiecat97+user-100","Chessiecat97+user-exclude",unknown,"",no status
     ,A253776014586204,undefined,"If students actually said what they think - Piques Vine",none,none,"none",none,"iktllnAq8x2z0SUukoyRcQ-100","iktllnAq8x2z0SUukoyRcQ-exclude",unknown,"",no status
     ,Fp1HxLA2eCY,BRWMB9600978,"Primeiro Susto",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,A336958639146966,undefined,"BLOODRAYNE 2 (PS2) Level 6 Part 9 Walkthrough",none,none,"none",none,"g-ePv_YdmYM8OxDusZrbEw-100","g-ePv_YdmYM8OxDusZrbEw-exclude",unknown,"",no status
     ,6tWuoMzwaxA,BRWMB9600975,"Experimenta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,KkMvhhx5cr0,BRWMB9600980,"Vou Tirar Você do Dicionário / Citações: Barato Total / S.O.S.",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,mQ1Uxf0U7zQ,BRWMB9600977,"Me Gusta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,z5NDbS3H9zA,ES5029500040,"Cozumel",none,none,"Juan Perro",none,"SonyBMG-100","SonyBMG-include",unknown,"",TRUE
     ,zs64E-_UYh0,BRWMB9600983,"Assim Que Eu Gosto",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,d2QUqecRQGc,BRWMB9600981,"Não Tem Volta",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,SfA1wWmlpnA,BRWMB9600976,"A Diferença",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,ku3Cjrbkuoo,BRWMB9600982,"Intimidade",none,none,"Zélia Duncan",none,"WMG-100","WMG-exclude",unknown,"",TRUE
     ,A201080853867272,undefined,"Лунтик 2014 Постройка стены",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A908124148748761,undefined,"Лунтик 2014: Лунтик и его друзья Обитатели воды",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A461794766089887,undefined,"Лунтик 2014: Лунтик и его друзья  Часы",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A837129645044353,undefined,"Лунтик 2014 В поисках мяча!",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A925810042312238,undefined,"Лунтик 2014: Лунтик и его друзья Тесто для Шера",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A738578230329791,undefined,"Лунтик 2014 : Лунтик и его друзья Фокусы",none,none,"none",none,"IrikomUkraine-100","IrikomUkraine-exclude",unknown,"",no status
     ,A532735339478159,undefined,"CGRgameplay BLOODRAYNE 2 (PS2) Level 2 Part 1 Walkthrough",none,none,"none",none,"g-ePv_YdmYM8OxDusZrbEw-100","g-ePv_YdmYM8OxDusZrbEw-exclude",unknown,"",no status
     ,A803299888712236,undefined,"CGRgameplay UNREAL TOURNAMENT (Dreamcast) Domination Ladder Round 7 Part 1",none,none,"none",none,"g-ePv_YdmYM8OxDusZrbEw-100","g-ePv_YdmYM8OxDusZrbEw-exclude",unknown,"",no status
USTCG1056838,A464059194480655,USTCG1056838,"Angelicus: Voices Of Light",none,none,"Meditation Dreams",none,"","",unknown,"",
TCAAX1151169,A458199984543094,TCAAX1151169,"Angelis",none,none,"Gregorian Chant",none,"","",unknown,"",
TCAAS1092458,A871223818666081,TCAAS1092458,"Angels",none,none,"Angels",none,"","",unknown,"",
TCAAX1151152,A630364658751609,TCAAX1151152,"Angels Of Gregorian Chant",none,none,"Gregorian Chant",none,"","",unknown,"",
TCAAZ1168587,A209018708372167,TCAAZ1168587,"Angels Of Beijing",none,none,"Asian Lullabies",none,"","",unknown,"",
TCAAU1106553,A752877220859475,TCAAU1106553,"Angels Voices",none,none,"Acapella",none,"","",unknown,"",
USTCC1096215,A901034808521873,USTCC1096215,"Anma",none,none,"Japanese Relaxation and Meditation",none,"","",unknown,"",
TCAAW1155671,A554698040377228,TCAAW1155671,"Another Love",none,none,"Piano Love Songs: Classic Easy Listening Pian",none,"","",unknown,"",
TCAAX1132026,A547847525271848,TCAAX1132026,"Anshan",none,none,"Zen Spa Music: Asian Meditation",none,"","",unknown,"",
TCAAX1196053,A255726372946979,TCAAX1196053,"Apache Celebration Drumming",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
USTC60826868,A808846762435381,USTC60826868,"Apache Indian Drums (Sedona)",none,none,"American Indian Music",none,"","",unknown,"",
TCAAW1156370,A722631050827391,TCAAW1156370,"Apache Indian Pow Wow",none,none,"World Beat",none,"","",unknown,"",
TCAAS1046388,A468923962365753,TCAAS1046388,"Architecture",none,859704612596,"Michael Silverman",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCB0943263,A608672404852673,USTCB0943263,"Are You Sleeping",none,none,"Smart Baby Classical",none,"","",unknown,"",
USTCD1081659,A238970830269482,USTCD1081659,"Are You Sleeping (Brother John)",none,none,"Smart Baby Lullabies",none,"","",unknown,"",
USTCE1004563,A461163985422485,USTCE1004563,"Aromatherapy",none,none,"Meditation Spa",none,"","",unknown,"",
USTCE1003604,A741831808055422,USTCE1003604,"Aromatherapy Massage Sounds for Chakra Tune Up and Tantra",none,859703360351,"Meditation Spa",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
