Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,Refrence File
US2S70425019,A540189996922358,US2S70425019,"The Unseen",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425020,A226604924854329,US2S70425020,"Phony Game",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425021,A924448535153457,US2S70425021,"Astro Travellin",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425022,A826801548797757,US2S70425022,"Blitz",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425023,A918197300452694,US2S70425023,"Axe Puzzles",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425024,A925297351547681,US2S70425024,"Discipline 99 Pt. 1",none,659457202521,"Quasimoto, Wildchild",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438001,fJPoWTtHXE8,US2S70438001,"Intro",none,659457203825,"Various Artists",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438003,A618618345625034,US2S70438003,"Let's Go (It's Summertime)",none,659457203825,"James Reese and The Progressions",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438002,A207399780056394,US2S70438002,"Dap Walk",none,659457203825,"Ernie and The Top Notes Inc.",The Funky 16 Corners,R&B,"Indmusic-100&Indmusic,rumblefish_cdbaby-100,100","Indmusic-exclude&Indmusic,rumblefish_cdbaby-exclude,exclude",monetize,"VU&VN&EC&VI&DZ&VG&VE&DM&VC&DO&VA&DE&UZ&UY&DK&DJ&US&UM&UG&UA&ET&ES&ER&EH&EG&TZ&EE&TT&TW&TV&GD&GE&GF&GA&GB&FR&FO&FK&FJ&FM&FI&WS&GY&GW&GU&GT&GS&GR&GQ&WF&GP&GN&GM&GL&GI&GH&GG&RE&RO&AT&AS&AR&AQ&AX&QA&AW&AU&AZ&BA&PT&AD&PW&AG&PR&AE&PS&AF&AL&AI&AO&PY&AM&TG&BW&TF&BV&BY&TD&TK&BS&TJ&BR&TH&BT&TO&TN&TM&TL&CA&TR&BZ&BF&SV&BG&SS&BH&ST&BI&SY&BB&SZ&BD&SX&BE&BN&BO&BQ&BJ&TC&BL&BM&SD&CZ&SC&CY&CX&SE&CW&SH&CV&SG&CU&SJ&SI&SL&SK&SN&SM&SO&SR&CI&RS&CG&RU&CH&RW&CF&CC&CD&CR&CO&CM&CN&SA&CK&SB&CL&LV&LU&LT&LY&LS&LR&MG&MH&ME&MF&MK&ML&MC&MD&MA&MV&MU&MX&MW&MZ&MY&MN&MM&MP&MO&MR&MQ&MT&MS&NF&NG&NI&NL&NA&NC&NE&NZ&NU&NR&NP&NO&OM&PL&PM&PN&PH&PK&PE&PF&PG&PA&HK&ZA&HN&HM&HR&HT&HU&ZM&ZW&ID&IE&IL&IM&IN&IO&IQ&IR&YE&IS&IT&JE&YT&JP&JO&JM&KI&KH&KG&KE&KP&KR&KM&KN&KW&KY&KZ&LA&LC&LB&LI&LK",TRUE
US2S70438004,A749237981188898,US2S70438004,"Trespasser",none,659457203825,"Bad Medicine",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438005,A349117953723192,US2S70438005,"The Funky 16 Corners",none,659457203825,"The Highlighters Band",The Funky 16 Corners,R&B,"Indmusic-100&Indmusic,ingrooves-100,100","Indmusic-exclude&Indmusic,ingrooves-exclude,include",monetize,"AD&AE&AF&AG&AI&AL&AM&AN&AO&AQ&AR&AS&AT&AU&AW&AX&AZ&BA&BB&BD&BE&BF&BG&BH&BI&BJ&BM&BN&BO&BR&BS&BT&BV&BW&BY&BZ&CC&CD&CF&CG&CH&CI&CK&CL&CM&CN&CO&CR&CU&CV&CX&CY&CZ&DE&DJ&DK&DM&DO&DZ&EC&EE&EG&EH&ER&ES&ET&FI&FJ&FK&FM&FO&FR&GA&GB&GD&GE&GF&GG&GH&GI&GL&GM&GN&GP&GQ&GR&GS&GT&GU&GW&GY&HK&HM&HN&HR&HT&HU&ID&IE&IL&IM&IN&IO&IQ&IR&IS&IT&JE&JM&JO&JP&KE&KG&KH&KI&KM&KN&KP&KR&KW&KY&KZ&LA&LB&LC&LI&LK&LR&LS&LT&LU&LV&LY&MA&MC&MD&ME&MG&MH&MK&ML&MM&MN&MO&MP&MQ&MR&MS&MT&MU&MV&MW&MX&MY&MZ&NA&NC&NE&NF&NG&NI&NL&NO&NP&NR&NU&NZ&OM&PA&PE&PF&PG&PH&PK&PL&PM&PN&PR&PS&PT&PW&PY&QA&RE&RO&RS&RU&RW&SA&SB&SC&SD&SE&SG&SH&SI&SJ&SK&SL&SM&SN&SO&SR&ST&SV&SY&SZ&TC&TD&TF&TG&TH&TJ&TK&TL&TM&TN&TO&TR&TT&TV&TW&TZ&UA&UG&UM&US&UY&UZ&VA&VC&VE&VG&VI&VN&VU&WF&WS&YE&YT&ZA&ZM&ZW",TRUE
US2S70438006,A767970636325836,US2S70438006,"The Kick",none,659457203825,"The Rhythm Machine",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438007,A521663634657892,US2S70438007,"What About You (In The World Today)",none,881034747136,"Co Real Artists",Stones Throw : 10 Years,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438008,A116801662232966,US2S70438008,"Interlude",none,659457203825,"Various Artists",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438009,A744708871299607,US2S70438009,"The Dump",none,659457203825,"Soul Vibrations",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438010,A864674972836168,US2S70438010,"Jody's Freeze",none,659457203825,"James Reese and The Progressions",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438011,A271992818444372,US2S70438011,"Kashmere",none,659457203825,"Kashmere Stage Band",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438012,A735687638613657,US2S70438012,"Fish Head",none,659457203825,"Slim and The Soulful Saints",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438013,A714853187914120,US2S70438013,"Tighten Up Tighter",none,659457203825,"Billy Ball and The Upsetters, feat. Roosevelt Matthews",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438014,A800846777705036,US2S70438014,"Southside Funk",none,659457203825,"Soul Seven",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438015,A410155434218691,US2S70438015,"Can We Rap",none,659457203825,"Carleen and The Groovers",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438016,A548799609204165,US2S70438016,"Beautiful Day",none,659457203825,"Spider Harrison",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438017,A210591525093072,US2S70438017,"Go To Work (Alternate Version)",none,659457203825,"Revolution Compared To What",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438018,A747523531297924,US2S70438018,"The Phantom",none,659457203825,"Bubbha Thomas and The Lightmen Plus One",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438019,A962078027284768,US2S70438019,"In The Rain",none,659457203825,"The Wooden Glass, feat. Billy Wooten",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438020,A806489065898333,US2S70438020,"Outro",none,659457203825,"Various Artists",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438021,A444565364880125,US2S70438021,"Bunky's Pick (Bonus Track)",none,659457203825,"Cut Chemist",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70438022,A810994811393911,US2S70438022,"The Funky Buzzard (Bonus Track)",none,659457203825,"James Bell & The Turner Brothers",The Funky 16 Corners,R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442001,u0EddvzlEF4,US2S70442001,"Prelude",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442002,fWkh7yzLNls,US2S70442002,"Julani",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442003,KFEkO1JiZzM,US2S70442003,"Papa",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442004,rqBkDkP7u9I,US2S70442004,"Keeper of My Soul",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442005,rV2yXFe_Xvc,US2S70442005,"The One Who Knows",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442006,HbKnX3UeB5Q,US2S70442006,"The Birth of YNQ",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442007,sXASRDdRdq0,US2S70442007,"Paladium",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442008,D0GNV4jokLk,US2S70442008,"Life's Angles",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70442009,EhruM61dGk8,US2S70442009,"Thinking Of You",none,659457204228,"Yesterday's New Quintet",Angles Without Edges,Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
